,date,sentiment
1011,2009-10-08,0.358
1012,2009-10-09,-0.278
1013,2009-10-10,0.0
1014,2009-10-11,0.0
1015,2009-10-12,0.204
1016,2009-10-13,0.275
1017,2009-10-14,0.288
1018,2009-10-15,-0.538
1019,2009-10-16,-0.212
1020,2009-10-17,-0.718
1021,2009-10-18,0.361
1022,2009-10-19,-0.21
1023,2009-10-20,0.096
1024,2009-10-21,-0.151
1025,2009-10-22,0.368
1026,2009-10-23,0.152
1027,2009-10-24,0.0
1028,2009-10-25,0.296
1029,2009-10-26,-0.001
1030,2009-10-27,0.111
1031,2009-10-28,0.366
1032,2009-10-29,0.16
1033,2009-10-30,0.396
1034,2009-10-31,0.0
1035,2009-11-01,0.353
1036,2009-11-02,0.086
1037,2009-11-03,0.107
1038,2009-11-04,-0.056
1039,2009-11-05,0.328
1040,2009-11-06,0.131
